Comments,Sentiment
ocurrió nunca autorizo presupuesto proyecto incluyeron termine cuidando salas exposición,"AnalyzerOutput(output=NEG, probas={NEG: 0.753, NEU: 0.226, POS: 0.021})"
una excelente experiencia viví prácticas profesión organización guru the brand buro realmente creo aprendí mucho y todos equipo involucraron aprendiéramos experiencia,"AnalyzerOutput(output=POS, probas={POS: 0.974, NEU: 0.023, NEG: 0.003})"
organización no tuvo contacto inicio semestre y no dieron ninguna clase alimentación trabajo entiendo problemas administrativos proceso no mantuvieron lado cuerdo cumplieron compromiso udlap o practicantes,"AnalyzerOutput(output=NEG, probas={NEG: 0.846, NEU: 0.148, POS: 0.006})"
organización perdió contacto partir mitad semestre y mayor retroalimentación y acompañamiento parte dra myrna iglesias retroalimentación útil organización dio muy seguimiento proyecto,"AnalyzerOutput(output=NEU, probas={NEU: 0.506, NEG: 0.470, POS: 0.025})"
no un contacto continuo parte supervisor dejo trabajando deriva,"AnalyzerOutput(output=NEG, probas={NEG: 0.843, NEU: 0.152, POS: 0.005})"
creo organización realicé prácticas excelente estudiantes aprendamos y capacitemos,"AnalyzerOutput(output=POS, probas={POS: 0.893, NEU: 0.101, NEG: 0.006})"
fecha inicio practicas agosto,"AnalyzerOutput(output=NEU, probas={NEU: 0.843, POS: 0.106, NEG: 0.051})"
muy buen lugar realizar practicas,"AnalyzerOutput(output=POS, probas={POS: 0.970, NEU: 0.027, NEG: 0.002})"
nada gusta,"AnalyzerOutput(output=NEU, probas={NEU: 0.596, NEG: 0.274, POS: 0.130})"
logre aprender diferentes aspectos carrera,"AnalyzerOutput(output=POS, probas={POS: 0.811, NEU: 0.179, NEG: 0.010})"
una sugerencia y mucha gente no deberían dejar trabajos extras universidad o si valgan menos,"AnalyzerOutput(output=NEG, probas={NEG: 0.642, NEU: 0.347, POS: 0.011})"
permitió trabajar casa i computadora y gran tira y ya permitía organizar mejor horarios prácticas trabajo y escuela,"AnalyzerOutput(output=NEU, probas={NEU: 0.507, POS: 0.479, NEG: 0.014})"
importante ningún momento acorde organización recibir ciertos beneficios mencionan encuesta respondí no pregunta,"AnalyzerOutput(output=NEU, probas={NEU: 0.587, NEG: 0.400, POS: 0.013})"
escribo fecha límite noviembre dice carta inicio embargo pretendo trabajar un rato proyecto,"AnalyzerOutput(output=NEU, probas={NEU: 0.909, NEG: 0.069, POS: 0.022})"
no sé discutió temas transporte,"AnalyzerOutput(output=NEU, probas={NEU: 0.750, NEG: 0.126, POS: 0.124})"
lamentablemente una repetidora radiodifusora ya roles muy establecidos y trabajo suele volverse monótono quizá no mejor opción desarollar ciertas habilidades claro trabajas,"AnalyzerOutput(output=NEG, probas={NEG: 0.741, NEU: 0.251, POS: 0.008})"
deberían ponerlos área producción estudiamos no promoción,"AnalyzerOutput(output=NEU, probas={NEU: 0.788, NEG: 0.184, POS: 0.028})"
incomodo llegar instalaciones y no cuenten un espacio si quiera poner computadora o poder realizar actividades literalmente sillas una esquina debes compartir espacio pasantes no pido toda una mesa o espacio solo un lugar designado menos puedas realizar actividades forma un cómoda,"AnalyzerOutput(output=NEG, probas={NEG: 0.950, NEU: 0.046, POS: 0.004})"
excelente despacho quedo satisfecha todo aprendido,"AnalyzerOutput(output=POS, probas={POS: 0.964, NEU: 0.032, NEG: 0.004})"
jefa directa nunca fomentó trabajos relacionados carrera sólo ayudé aligerar carga administrativa trabajo,"AnalyzerOutput(output=NEU, probas={NEU: 0.575, NEG: 0.409, POS: 0.016})"
encargada muy accesible horarios universidad servicio social etc y brindó toda capacitación realizar prácticas,"AnalyzerOutput(output=NEU, probas={NEU: 0.560, POS: 0.423, NEG: 0.017})"
muy buenas practicas campo aprendizaje,"AnalyzerOutput(output=POS, probas={POS: 0.961, NEU: 0.035, NEG: 0.004})"
mejor lugar mejorar capacitación profesional abogado,"AnalyzerOutput(output=NEU, probas={NEU: 0.509, POS: 0.474, NEG: 0.017})"
apendí bastante derecho fiscal y administrativo parece una buena organización y recomendaria ampliamente,"AnalyzerOutput(output=POS, probas={POS: 0.928, NEU: 0.068, NEG: 0.004})"
aprendí mucho espacio tuve oportunidad realizar prácticas profesión puse práctica teoría adquirida largo carrera una experiencia satisfactoria,"AnalyzerOutput(output=POS, probas={POS: 0.941, NEU: 0.055, NEG: 0.004})"
